PO_ID,Order_Date,Supplier_ID,Supplier_Name,Product_ID,Product_Name,Category,Quantity,Unit_Cost_USD,Total_Cost_USD,Delivery_Date,On_Time_Delivery,Days_Late,Defects_Found,Defect_Rate_Percent,Payment_Status
PO_00026,5/4/2023,SUP_042,Apex Components,PROD_016,Metal Frame,Hardware,994,331.5,329514.42,7/11/2023,Yes,0,100,10.06,Pending
PO_00027,1/13/2023,SUP_026,Unified Suppliers,PROD_013,Connector Cable,Finished Parts,402,150.33,60433.91,4/14/2023,Yes,0,26,6.47,Paid
PO_00028,2/3/2024,SUP_009,Standard Parts Co,PROD_024,Transformer Core,Raw Materials,719,240.03,172581.81,3/6/2024,Yes,0,33,4.59,Paid
PO_00029,6/14/2023,SUP_046,Universal Materials,PROD_003,Copper Wire,Raw Materials,323,125.98,40690.46,8/20/2023,Yes,0,46,14.24,Paid
PO_00030,11/9/2024,SUP_035,Nexus Components,PROD_005,Plastic Housing,Components,445,369.45,164404.77,1/29/2025,No,12,65,14.61,Paid
PO_00031,12/30/2023,SUP_046,Universal Materials,PROD_017,Composite Panel,Components,885,104.91,92845.27,3/3/2024,Yes,0,145,16.38,Paid
PO_00032,2/28/2024,SUP_050,Zephyr Components,PROD_017,Composite Panel,Components,865,400.34,346294.85,4/27/2024,Yes,0,41,4.74,Overdue
PO_00033,5/19/2024,SUP_006,Rapid Supply Chain,PROD_019,Insulation Material,Finished Parts,678,94.79,64265.08,5/29/2024,No,1,67,9.88,Overdue
PO_00034,3/20/2024,SUP_029,Expert Vendors,PROD_014,Circuit Board,Finished Parts,249,480.66,119685.06,3/31/2024,Yes,0,30,12.05,Pending
PO_00035,6/5/2023,SUP_021,Efficient Supply,PROD_010,Control Panel,Finished Parts,181,61.37,11107.93,7/27/2023,Yes,0,7,3.87,Paid
PO_00036,3/18/2023,SUP_046,Universal Materials,PROD_008,Bearing Unit,Raw Materials,68,125.39,8526.77,6/8/2023,No,14,16,23.53,Pending
PO_00037,2/11/2024,SUP_016,Smart Supply,PROD_019,Insulation Material,Finished Parts,408,501.4,204571.98,3/10/2024,Yes,0,38,9.31,Overdue
PO_00038,7/26/2024,SUP_030,Consolidated Supply,PROD_019,Insulation Material,Finished Parts,92,449.35,41340.24,8/13/2024,Yes,0,5,5.43,Pending
PO_00039,6/6/2023,SUP_035,Nexus Components,PROD_003,Copper Wire,Raw Materials,677,332.01,224769.38,8/9/2023,No,0,106,15.66,Paid
PO_00040,5/2/2024,SUP_001,Global Materials Inc,PROD_012,Power Supply,Finished Parts,831,283.55,235632.42,6/22/2024,No,0,44,5.29,Pending
PO_00041,5/3/2024,SUP_018,Dynamic Materials,PROD_002,Aluminum Sheet,Finished Parts,166,446,74035.28,5/18/2024,Yes,0,16,9.64,Paid
PO_00042,5/6/2024,SUP_037,Frontier Materials,PROD_009,Motor Shaft,Finished Parts,591,207.49,122626.97,6/23/2024,Yes,0,38,6.43,Paid
PO_00043,12/18/2024,SUP_021,Efficient Supply,PROD_018,Thermal Paste,Electronics,26,59.35,1543.02,2/20/2025,Yes,0,2,7.69,Paid
PO_00044,9/11/2023,SUP_018,Dynamic Materials,PROD_009,Motor Shaft,Finished Parts,190,517.28,98284.05,9/19/2023,No,0,28,14.74,Paid
PO_00045,12/3/2023,SUP_044,Stellar Parts,PROD_012,Power Supply,Finished Parts,584,343.56,200637.27,2/29/2024,Yes,0,26,4.45,Pending
PO_00046,12/26/2024,SUP_046,Universal Materials,PROD_020,Battery Cell,Raw Materials,206,97.25,20033.65,3/13/2025,Yes,0,35,16.99,Pending
PO_00047,11/11/2023,SUP_032,Streamline Supply,PROD_013,Connector Cable,Finished Parts,671,143.94,96587.07,1/8/2024,Yes,0,21,3.13,Paid
PO_00048,3/14/2023,SUP_022,Integrated Solutions,PROD_005,Plastic Housing,Components,518,202.77,105032.32,3/29/2023,Yes,0,53,10.23,Paid
PO_00049,10/23/2024,SUP_017,Professional Suppliers,PROD_002,Aluminum Sheet,Finished Parts,434,378.87,164431.34,12/25/2024,Yes,0,57,13.13,Paid
PO_00050,1/7/2023,SUP_039,Harmony Supply,PROD_004,Rubber Gasket,Components,323,471.87,152413.99,3/23/2023,No,0,49,15.17,Paid
PO_00051,2/13/2024,SUP_048,Xenon Suppliers,PROD_006,Electronic Component A,Raw Materials,941,340.61,320517.29,5/8/2024,Yes,0,45,4.78,Pending
PO_00052,7/23/2023,SUP_039,Harmony Supply,PROD_020,Battery Cell,Raw Materials,170,461.72,78492.27,10/6/2023,Yes,0,19,11.18,Paid
PO_00053,11/11/2023,SUP_009,Standard Parts Co,PROD_021,Switch Assembly,Finished Parts,910,240.3,218674.14,12/14/2023,Yes,0,41,4.51,Overdue
PO_00054,8/27/2023,SUP_037,Frontier Materials,PROD_024,Transformer Core,Raw Materials,961,213.35,205027.29,10/19/2023,Yes,0,48,4.99,Paid
PO_00055,7/3/2023,SUP_016,Smart Supply,PROD_004,Rubber Gasket,Components,235,480.92,113015.18,7/25/2023,Yes,0,19,8.09,Overdue
PO_00056,9/12/2023,SUP_010,Advanced Logistics,PROD_019,Insulation Material,Finished Parts,846,143.15,121102.57,12/3/2023,Yes,0,97,11.47,Paid
PO_00057,2/11/2023,SUP_034,Precision Suppliers,PROD_005,Plastic Housing,Components,711,22.93,16300.1,4/13/2023,No,1,82,11.53,Paid
PO_00058,12/26/2023,SUP_025,Premium Components,PROD_019,Insulation Material,Finished Parts,19,283.75,5391.17,3/18/2024,No,0,5,26.32,Pending
PO_00059,12/17/2024,SUP_019,Century Components,PROD_010,Control Panel,Finished Parts,900,478.76,430880.7,2/24/2025,No,3,105,11.67,Paid
PO_00060,5/2/2023,SUP_007,Elite Industries,PROD_008,Bearing Unit,Raw Materials,441,11.64,5135.36,7/9/2023,Yes,0,71,16.1,Pending
PO_00061,2/20/2024,SUP_041,Zenith Materials,PROD_002,Aluminum Sheet,Finished Parts,735,325.29,239091.14,3/8/2024,Yes,0,86,11.7,Paid
PO_00062,3/13/2023,SUP_047,Wavelength Components,PROD_013,Connector Cable,Finished Parts,272,443.21,120554.16,5/6/2023,No,8,7,2.57,Paid
PO_00063,8/9/2024,SUP_050,Zephyr Components,PROD_016,Metal Frame,Hardware,686,407.59,279609.86,10/5/2024,Yes,0,38,5.54,Paid
PO_00064,12/27/2023,SUP_037,Frontier Materials,PROD_025,Wiring Harness,Hardware,383,214.82,82276.13,2/14/2024,Yes,0,20,5.22,Paid
PO_00065,8/21/2024,SUP_029,Expert Vendors,PROD_002,Aluminum Sheet,Finished Parts,151,455.97,68851.54,9/8/2024,No,8,16,10.6,Pending
PO_00066,6/20/2023,SUP_024,Direct Supply,PROD_019,Insulation Material,Finished Parts,662,368.8,244145.1,8/14/2023,Yes,0,21,3.17,Paid
PO_00067,6/21/2024,SUP_044,Stellar Parts,PROD_023,Capacitor Bank,Finished Parts,930,279.43,259872.03,9/20/2024,No,13,56,6.02,Paid
PO_00068,9/12/2023,SUP_040,Pinnacle Suppliers,PROD_022,Relay Unit,Hardware,464,265.19,123049.77,11/26/2023,Yes,0,72,15.52,Overdue
PO_00069,6/3/2024,SUP_019,Century Components,PROD_002,Aluminum Sheet,Finished Parts,131,401.76,52630,8/6/2024,No,0,8,6.11,Paid
PO_00070,6/24/2023,SUP_042,Apex Components,PROD_011,LED Assembly,Raw Materials,840,396.25,332853.85,8/24/2023,Yes,0,82,9.76,Overdue
PO_00071,12/6/2023,SUP_030,Consolidated Supply,PROD_016,Metal Frame,Hardware,356,416,148097.3,12/17/2023,Yes,0,29,8.15,Paid
PO_00072,1/15/2023,SUP_005,Premier Components,PROD_014,Circuit Board,Finished Parts,525,166.04,87170.7,3/29/2023,Yes,0,44,8.38,Paid
PO_00073,4/21/2023,SUP_047,Wavelength Components,PROD_024,Transformer Core,Raw Materials,241,539.5,130020.19,6/18/2023,Yes,0,13,5.39,Pending
PO_00074,4/26/2023,SUP_037,Frontier Materials,PROD_022,Relay Unit,Hardware,279,245.01,68356.97,6/26/2023,Yes,0,13,4.66,Paid
PO_00075,9/3/2024,SUP_023,Modern Materials,PROD_011,LED Assembly,Raw Materials,351,387.56,136031.91,10/22/2024,No,0,8,2.28,Paid
PO_00076,6/19/2024,SUP_046,Universal Materials,PROD_007,Electronic Component B,Components,393,97.13,38170.72,9/8/2024,Yes,0,56,14.25,Paid
PO_00077,12/6/2023,SUP_007,Elite Industries,PROD_017,Composite Panel,Components,138,12.06,1664.47,2/1/2024,Yes,0,15,10.87,Paid
PO_00078,3/19/2024,SUP_038,Summit Components,PROD_006,Electronic Component A,Raw Materials,799,96.64,77214.14,4/23/2024,Yes,0,105,13.14,Paid
PO_00079,2/15/2023,SUP_012,Industrial Solutions,PROD_009,Motor Shaft,Finished Parts,311,109.99,34205.41,3/6/2023,No,0,15,4.82,Paid
PO_00080,7/13/2024,SUP_046,Universal Materials,PROD_001,Steel Bolts,Hardware,28,105.73,2960.47,9/24/2024,No,5,3,10.71,Paid
PO_00081,4/4/2024,SUP_044,Stellar Parts,PROD_003,Copper Wire,Raw Materials,262,333.85,87467.69,7/3/2024,Yes,0,15,5.73,Paid
PO_00082,6/10/2023,SUP_034,Precision Suppliers,PROD_009,Motor Shaft,Finished Parts,952,24.64,23461.43,8/7/2023,Yes,0,97,10.19,Paid
PO_00083,9/13/2023,SUP_049,Yearlong Materials,PROD_003,Copper Wire,Raw Materials,362,323.1,116963.68,12/16/2023,Yes,0,28,7.73,Paid
PO_00084,5/30/2023,SUP_021,Efficient Supply,PROD_004,Rubber Gasket,Components,141,57.99,8176.94,7/22/2023,Yes,0,9,6.38,Overdue
PO_00085,1/30/2023,SUP_010,Advanced Logistics,PROD_011,LED Assembly,Raw Materials,734,138.82,101896.26,4/30/2023,Yes,0,75,10.22,Paid
PO_00086,10/10/2023,SUP_004,EcoSource Materials,PROD_018,Thermal Paste,Electronics,952,150.15,142944.19,12/8/2023,Yes,0,19,2,Pending
PO_00087,9/12/2023,SUP_047,Wavelength Components,PROD_011,LED Assembly,Raw Materials,188,560.13,105304.06,10/27/2023,Yes,0,9,4.79,Pending
PO_00088,10/7/2024,SUP_013,Tech Components Ltd,PROD_021,Switch Assembly,Finished Parts,732,365.45,267506.56,10/21/2024,No,4,11,1.5,Paid
PO_00089,3/11/2023,SUP_016,Smart Supply,PROD_009,Motor Shaft,Finished Parts,818,434.5,355417.92,4/9/2023,Yes,0,64,7.82,Paid
PO_00090,3/17/2024,SUP_013,Tech Components Ltd,PROD_018,Thermal Paste,Electronics,212,399.11,84610.34,3/28/2024,Yes,0,7,3.3,Paid
PO_00091,1/31/2023,SUP_030,Consolidated Supply,PROD_012,Power Supply,Finished Parts,507,426.37,216167.54,2/18/2023,Yes,0,43,8.48,Overdue
PO_00092,8/31/2023,SUP_020,Strategic Partners,PROD_019,Insulation Material,Finished Parts,959,265.82,254917.16,11/25/2023,Yes,0,33,3.44,Paid
PO_00093,2/28/2023,SUP_035,Nexus Components,PROD_008,Bearing Unit,Raw Materials,874,426.59,372843.85,5/9/2023,No,1,128,14.65,Paid
PO_00094,4/18/2024,SUP_001,Global Materials Inc,PROD_015,Fastener Kit,Electronics,706,289,204033.27,6/13/2024,Yes,0,33,4.67,Overdue
PO_00095,8/17/2023,SUP_019,Century Components,PROD_006,Electronic Component A,Raw Materials,988,417.58,412565.95,11/1/2023,Yes,0,95,9.62,Paid
PO_00096,3/7/2024,SUP_047,Wavelength Components,PROD_001,Steel Bolts,Hardware,713,507.44,361803.65,4/19/2024,Yes,0,29,4.07,Overdue
PO_00097,3/10/2023,SUP_049,Yearlong Materials,PROD_009,Motor Shaft,Finished Parts,620,373.43,231523.92,6/2/2023,Yes,0,36,5.81,Paid
PO_00098,11/21/2023,SUP_011,Reliable Vendors,PROD_006,Electronic Component A,Raw Materials,223,11.92,2658.68,1/9/2024,Yes,0,22,9.87,Pending
PO_00099,10/26/2024,SUP_040,Pinnacle Suppliers,PROD_018,Thermal Paste,Electronics,75,221.8,16635.22,1/2/2025,Yes,0,13,17.33,Paid
PO_00100,12/3/2024,SUP_016,Smart Supply,PROD_010,Control Panel,Finished Parts,885,492.29,435675.28,12/19/2024,No,1,74,8.36,Pending
PO_00101,1/14/2024,SUP_027,Continental Materials,PROD_004,Rubber Gasket,Components,731,281.31,205638.67,2/27/2024,Yes,0,23,3.15,Paid
PO_00102,8/9/2023,SUP_017,Professional Suppliers,PROD_023,Capacitor Bank,Finished Parts,388,328.92,127619.82,10/10/2023,Yes,0,60,15.46,Paid
PO_00103,1/27/2024,SUP_010,Advanced Logistics,PROD_007,Electronic Component B,Components,531,165.4,87826.53,4/18/2024,Yes,0,45,8.47,Paid
PO_00104,1/6/2024,SUP_021,Efficient Supply,PROD_013,Connector Cable,Finished Parts,108,60.98,6586.34,2/26/2024,Yes,0,9,8.33,Pending
PO_00105,4/14/2023,SUP_041,Zenith Materials,PROD_001,Steel Bolts,Hardware,170,260.85,44345.08,5/10/2023,Yes,0,32,18.82,Paid
PO_00106,12/10/2023,SUP_016,Smart Supply,PROD_015,Fastener Kit,Electronics,89,538.72,47945.91,12/21/2023,Yes,0,7,7.87,Paid
PO_00107,10/18/2024,SUP_038,Summit Components,PROD_012,Power Supply,Finished Parts,607,113.49,68885.59,11/23/2024,Yes,0,80,13.18,Paid
PO_00108,1/25/2024,SUP_035,Nexus Components,PROD_015,Fastener Kit,Electronics,443,399.08,176790.5,4/12/2024,Yes,0,60,13.54,Paid
PO_00109,1/17/2024,SUP_005,Premier Components,PROD_013,Connector Cable,Finished Parts,874,165.9,144998.63,3/25/2024,Yes,0,67,7.67,Pending
PO_00110,1/16/2024,SUP_022,Integrated Solutions,PROD_021,Switch Assembly,Finished Parts,682,218.23,148830.13,2/8/2024,Yes,0,64,9.38,Paid
PO_00111,5/18/2023,SUP_048,Xenon Suppliers,PROD_022,Relay Unit,Hardware,352,356.19,125377.56,8/20/2023,Yes,0,17,4.83,Pending
PO_00112,10/3/2023,SUP_035,Nexus Components,PROD_011,LED Assembly,Raw Materials,925,419.01,387585.43,12/23/2023,No,12,103,11.14,Paid
PO_00113,4/14/2023,SUP_047,Wavelength Components,PROD_020,Battery Cell,Raw Materials,691,537.97,371735.37,6/11/2023,Yes,0,26,3.76,Paid
PO_00114,2/28/2023,SUP_007,Elite Industries,PROD_006,Electronic Component A,Raw Materials,186,14.15,2632.17,5/1/2023,Yes,0,22,11.83,Overdue
PO_00115,2/21/2023,SUP_050,Zephyr Components,PROD_006,Electronic Component A,Raw Materials,218,469.58,102367.41,4/16/2023,Yes,0,19,8.72,Pending
PO_00116,11/20/2023,SUP_013,Tech Components Ltd,PROD_006,Electronic Component A,Raw Materials,393,420.09,165093.77,11/25/2023,Yes,0,7,1.78,Paid
PO_00117,4/10/2024,SUP_004,EcoSource Materials,PROD_011,LED Assembly,Raw Materials,848,166.19,140927.31,6/12/2024,Yes,0,16,1.89,Paid
PO_00118,12/10/2024,SUP_027,Continental Materials,PROD_005,Plastic Housing,Components,803,332.13,266701.9,2/2/2025,Yes,0,30,3.74,Paid
PO_00119,6/16/2023,SUP_003,Quality Suppliers Ltd,PROD_022,Relay Unit,Hardware,968,324,313627.67,8/7/2023,Yes,0,108,11.16,Paid
PO_00120,3/19/2024,SUP_028,Superior Parts,PROD_017,Composite Panel,Components,925,190.08,175820.45,5/19/2024,Yes,0,144,15.57,Overdue
PO_00121,3/4/2023,SUP_049,Yearlong Materials,PROD_007,Electronic Component B,Components,513,342.25,175575.4,6/6/2023,Yes,0,41,7.99,Paid
PO_00122,2/21/2023,SUP_032,Streamline Supply,PROD_002,Aluminum Sheet,Finished Parts,347,141.2,48996.57,4/19/2023,No,0,6,1.73,Pending
PO_00123,11/1/2024,SUP_008,NextGen Suppliers,PROD_008,Bearing Unit,Raw Materials,89,194.41,17302.71,11/24/2024,Yes,0,4,4.49,Paid
PO_00124,2/12/2024,SUP_035,Nexus Components,PROD_004,Rubber Gasket,Components,466,389.66,181579.46,4/22/2024,Yes,0,59,12.66,Paid
PO_00125,9/30/2023,SUP_015,Global Traders,PROD_024,Transformer Core,Raw Materials,949,336.22,319072.08,10/22/2023,Yes,0,67,7.06,Paid
PO_00126,5/18/2023,SUP_010,Advanced Logistics,PROD_001,Steel Bolts,Hardware,482,179.18,86364.55,8/8/2023,Yes,0,56,11.62,Paid
PO_00127,5/27/2023,SUP_035,Nexus Components,PROD_009,Motor Shaft,Finished Parts,268,384.57,103065.17,8/13/2023,No,9,47,17.54,Pending
PO_00128,2/24/2024,SUP_035,Nexus Components,PROD_015,Fastener Kit,Electronics,258,368.82,95154.39,5/1/2024,No,0,27,10.47,Pending
PO_00129,12/14/2023,SUP_040,Pinnacle Suppliers,PROD_013,Connector Cable,Finished Parts,807,252.79,204002.3,2/17/2024,Yes,0,115,14.25,Paid
PO_00130,5/26/2023,SUP_029,Expert Vendors,PROD_017,Composite Panel,Components,845,489.57,413689.39,6/6/2023,Yes,0,121,14.32,Pending
PO_00131,1/31/2024,SUP_002,FastParts Co,PROD_019,Insulation Material,Finished Parts,360,460.37,165732.05,4/22/2024,Yes,0,45,12.5,Paid
PO_00132,2/15/2024,SUP_044,Stellar Parts,PROD_013,Connector Cable,Finished Parts,17,302.04,5134.61,5/7/2024,Yes,0,2,11.76,Paid
PO_00133,5/8/2024,SUP_043,Quantum Suppliers,PROD_011,LED Assembly,Raw Materials,908,72.6,65916.46,6/7/2024,Yes,0,66,7.27,Paid
PO_00134,2/14/2024,SUP_047,Wavelength Components,PROD_014,Circuit Board,Finished Parts,340,469.85,159748.83,3/28/2024,No,0,11,3.24,Paid
PO_00135,7/6/2023,SUP_044,Stellar Parts,PROD_008,Bearing Unit,Raw Materials,828,335.11,277474.41,9/20/2023,No,0,58,7,Paid
PO_00136,3/23/2024,SUP_045,Velocity Supply,PROD_012,Power Supply,Finished Parts,522,249.78,130384.35,6/11/2024,Yes,0,76,14.56,Paid
PO_00137,11/30/2023,SUP_041,Zenith Materials,PROD_006,Electronic Component A,Raw Materials,724,261.37,189230.48,12/24/2023,Yes,0,81,11.19,Paid
PO_00138,6/19/2023,SUP_029,Expert Vendors,PROD_010,Control Panel,Finished Parts,699,495.49,346345.26,6/27/2023,Yes,0,108,15.45,Pending
PO_00139,1/6/2024,SUP_038,Summit Components,PROD_015,Fastener Kit,Electronics,786,96.39,75766.45,2/13/2024,Yes,0,103,13.1,Overdue
PO_00140,2/23/2024,SUP_002,FastParts Co,PROD_011,LED Assembly,Raw Materials,97,573.11,55591.19,5/3/2024,Yes,0,13,13.4,Pending
PO_00141,10/4/2023,SUP_035,Nexus Components,PROD_014,Circuit Board,Finished Parts,859,349.31,300054.05,12/21/2023,Yes,0,116,13.5,Paid
PO_00142,9/11/2024,SUP_032,Streamline Supply,PROD_019,Insulation Material,Finished Parts,462,120.37,55611.51,11/22/2024,Yes,0,18,3.9,Paid
PO_00143,8/25/2023,SUP_013,Tech Components Ltd,PROD_004,Rubber Gasket,Components,812,408.07,331350.58,9/1/2023,Yes,0,12,1.48,Pending
PO_00144,12/19/2023,SUP_005,Premier Components,PROD_009,Motor Shaft,Finished Parts,917,137.04,125661.4,3/2/2024,No,4,79,8.62,Overdue
PO_00145,11/30/2023,SUP_043,Quantum Suppliers,PROD_025,Wiring Harness,Hardware,293,87.83,25733.7,12/25/2023,Yes,0,24,8.19,Pending
PO_00146,2/3/2023,SUP_024,Direct Supply,PROD_012,Power Supply,Finished Parts,901,368.09,331646.97,3/17/2023,Yes,0,29,3.22,Paid
PO_00147,1/3/2023,SUP_046,Universal Materials,PROD_024,Transformer Core,Raw Materials,37,115.52,4274.07,3/24/2023,Yes,0,3,8.11,Paid
PO_00148,9/29/2024,SUP_010,Advanced Logistics,PROD_020,Battery Cell,Raw Materials,837,140.13,117292.26,12/24/2024,Yes,0,84,10.04,Paid
PO_00149,3/10/2024,SUP_021,Efficient Supply,PROD_010,Control Panel,Finished Parts,693,57.79,40049.11,5/10/2024,Yes,0,47,6.78,Pending
PO_00150,9/21/2023,SUP_044,Stellar Parts,PROD_021,Switch Assembly,Finished Parts,147,301.85,44372.39,12/13/2023,No,5,7,4.76,Paid
PO_00151,9/12/2024,SUP_025,Premium Components,PROD_019,Insulation Material,Finished Parts,837,352.16,294761.39,12/11/2024,Yes,0,132,15.77,Paid
PO_00152,2/9/2023,SUP_042,Apex Components,PROD_025,Wiring Harness,Hardware,282,414.95,117014.74,4/8/2023,Yes,0,24,8.51,Paid
PO_00153,10/15/2023,SUP_021,Efficient Supply,PROD_008,Bearing Unit,Raw Materials,468,52.17,24414.92,12/1/2023,Yes,0,35,7.48,Paid
PO_00154,7/13/2024,SUP_010,Advanced Logistics,PROD_019,Insulation Material,Finished Parts,257,147.78,37979.29,9/28/2024,No,0,26,10.12,Overdue
PO_00155,3/19/2024,SUP_024,Direct Supply,PROD_012,Power Supply,Finished Parts,126,360.42,45412.88,4/29/2024,Yes,0,4,3.17,Paid
PO_00156,9/6/2023,SUP_040,Pinnacle Suppliers,PROD_011,LED Assembly,Raw Materials,647,216.95,140364.09,11/24/2023,No,11,99,15.3,Paid
PO_00157,9/23/2023,SUP_037,Frontier Materials,PROD_019,Insulation Material,Finished Parts,418,255.3,106714.23,11/23/2023,Yes,0,19,4.55,Paid
PO_00158,2/17/2023,SUP_006,Rapid Supply Chain,PROD_010,Control Panel,Finished Parts,776,86.06,66786.36,3/9/2023,Yes,0,79,10.18,Pending
PO_00159,12/28/2023,SUP_006,Rapid Supply Chain,PROD_025,Wiring Harness,Hardware,155,82.24,12746.59,1/10/2024,No,4,23,14.84,Paid
PO_00160,4/2/2024,SUP_016,Smart Supply,PROD_020,Battery Cell,Raw Materials,588,528.53,310772.91,4/17/2024,No,0,36,6.12,Paid
PO_00161,6/24/2023,SUP_041,Zenith Materials,PROD_018,Thermal Paste,Electronics,908,256.3,232716.33,7/25/2023,No,11,100,11.01,Pending
PO_00162,12/2/2023,SUP_049,Yearlong Materials,PROD_015,Fastener Kit,Electronics,712,386.04,274861.33,3/7/2024,Yes,0,42,5.9,Paid
PO_00163,7/20/2023,SUP_014,PrecisionParts Inc,PROD_010,Control Panel,Finished Parts,231,471.98,109027.18,10/6/2023,Yes,0,28,12.12,Paid
PO_00164,9/1/2023,SUP_035,Nexus Components,PROD_022,Relay Unit,Hardware,483,395.27,190917.12,11/12/2023,Yes,0,69,14.29,Paid
PO_00165,9/10/2023,SUP_040,Pinnacle Suppliers,PROD_007,Electronic Component B,Components,450,254.63,114581.72,11/14/2023,Yes,0,70,15.56,Paid
PO_00166,11/24/2024,SUP_040,Pinnacle Suppliers,PROD_001,Steel Bolts,Hardware,944,285,269035.92,2/10/2025,Yes,0,135,14.3,Paid
PO_00167,11/16/2024,SUP_001,Global Materials Inc,PROD_018,Thermal Paste,Electronics,355,321.13,114000.47,1/13/2025,Yes,0,18,5.07,Paid
PO_00168,4/26/2023,SUP_039,Harmony Supply,PROD_003,Copper Wire,Raw Materials,544,486.63,264728.79,7/22/2023,Yes,0,68,12.5,Paid
PO_00169,4/10/2024,SUP_010,Advanced Logistics,PROD_024,Transformer Core,Raw Materials,661,153.81,101666.39,7/9/2024,Yes,0,73,11.04,Paid
PO_00170,4/18/2023,SUP_039,Harmony Supply,PROD_009,Motor Shaft,Finished Parts,285,472.51,134666.41,7/6/2023,Yes,0,40,14.04,Paid
PO_00171,1/23/2023,SUP_026,Unified Suppliers,PROD_003,Copper Wire,Raw Materials,765,153.08,117103.74,4/25/2023,Yes,0,44,5.75,Paid
